,key_id,referee_id,family_name,given_name,female,country_name,confederation_id,confederation_name,confederation_code,referee_wikipedia_link
318,319,R-319,Norberto Coerezza,Ángel,0,Argentina,CF-4,South American Football Confederation,CONMEBOL,not available
319,320,R-320,O'Leary,Peter,0,New Zealand,CF-5,Oceania Football Confederation,OFC,https://en.wikipedia.org/wiki/Peter_O%27Leary_(referee)
320,321,R-321,Ödlund,Eva,1,Sweden,CF-6,Union of European Football Associations,UEFA,not available
321,322,R-322,Ogston,Tammy,1,Australia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Tammy_Ogston
322,323,R-323,Oiwa,Mayumi,1,Japan,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Mayumi_Oiwa
323,324,R-324,Okada,Masayoshi,0,Japan,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Masayoshi_Okada
324,325,R-325,Oliver,Michael,0,England,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Michael_Oliver_(referee)
325,326,R-326,Orlandini,Vincenzo,0,Italy,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Vincenzo_Orlandini
326,327,R-327,Orsato,Daniele,0,Italy,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Daniele_Orsato
327,328,R-328,Ortiz,Héctor,0,Paraguay,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/H%C3%A9ctor_Ortiz_(referee)
328,329,R-329,Ortiz de Mendíbil,José María,0,Spain,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Ortiz_de_Mend%C3%ADbil
329,330,R-330,Ortubé,René,0,Bolivia,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Ren%C3%A9_Ortub%C3%A9
330,331,R-331,Osses,Enrique,0,Chile,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Enrique_Osses
331,332,R-332,Pairetto,Pierluigi,0,Italy,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Pierluigi_Pairetto
332,333,R-333,Palmqvist,Jenny,1,Sweden,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Jenny_Palmqvist
333,334,R-334,Palotai,Károly,0,Hungary,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/K%C3%A1roly_Palotai
334,335,R-335,Pardo,Martha Liliana,1,Colombia,CF-4,South American Football Confederation,CONMEBOL,not available
